domain,word,letter,syllables,pos,score
assertion.com,assertion,A,3,Noun,37
acronym.com,acronym,A,3,Noun,40
alberta.com,alberta,A,3,Noun,47
adapter.com,adapter,A,3,Noun,40
amelia.com,amelia,A,3,Noun,54
ambulance.com,ambulance,A,3,Noun,27
aptitude.com,aptitude,A,3,Noun,40
artisan.com,artisan,A,3,Noun,40
athena.com,athena,A,3,Noun,54
abdomen.com,abdomen,A,3,Noun,50
amnesia.com,amnesia,A,3,Noun,47
avoidance.com,avoidance,A,3,Noun,27
artery.com,artery,A,3,Noun,47
asteroid.com,asteroid,A,3,Noun,40
abstraction.com,abstraction,A,3,Noun,32
aggregate.com,aggregate,A,3,Noun,27
amazon.com,amazon,A,3,Noun,50
afternoons.com,afternoons,A,3,Noun,27
allegiance.com,allegiance,A,3,Noun,27
arabic.com,arabic,A,3,Noun,47
adamant.com,adamant,A,3,Noun,40
agnostic.com,agnostic,A,3,Noun,40
arousal.com,arousal,A,3,Noun,40
attachment.com,attachment,A,3,Noun,27
altitude.com,altitude,A,3,Noun,40
anglican.com,anglican,A,3,Noun,40
assurance.com,assurance,A,3,Noun,27
aviation.com,aviation,A,3,Noun,50
allotment.com,allotment,A,3,Noun,27
aurora.com,aurora,A,3,Noun,54
apartment.com,apartment,A,3,Noun,27
abduction.com,abduction,A,3,Noun,37
alumni.com,alumni,A,3,Noun,54
ambition.com,ambition,A,3,Noun,50
appraisal.com,appraisal,A,3,Noun,27
albania.com,albania,A,3,Noun,47
antarctic.com,antarctic,A,3,Noun,27
appointment.com,appointment,A,3,Noun,22
admission.com,admission,A,3,Noun,37
assessment.com,assessment,A,3,Noun,27
alchemy.com,alchemy,A,3,Noun,40
accident.com,accident,A,3,Noun,40
anarchism.com,anarchism,A,3,Noun,27
anxiety.com,anxiety,A,3,Noun,40
attorney.com,attorney,A,3,Noun,40
agreement.com,agreement,A,3,Noun,27
algebra.com,algebra,A,3,Noun,47
advocate.com,advocate,A,3,Noun,40
apparel.com,apparel,A,3,Noun,40
alibi.com,alibi,A,3,Noun,59
allergy.com,allergy,A,3,Noun,40
almighty.com,almighty,A,3,Noun,40
arcadia.com,arcadia,A,3,Noun,47
accountant.com,accountant,A,3,Noun,27
australia.com,australia,A,3,Noun,27
abundance.com,abundance,A,3,Noun,27
annuity.com,annuity,A,3,Noun,40
alonso.com,alonso,A,3,Noun,54
ariana.com,ariana,A,3,Noun,54
acetate.com,acetate,A,3,Noun,47
arrogance.com,arrogance,A,3,Noun,27
anthony.com,anthony,A,3,Noun,40
asbestos.com,asbestos,A,3,Noun,40
armenian.com,armenian,A,3,Noun,40
asiatic.com,asiatic,A,3,Noun,40
approval.com,approval,A,3,Noun,40
archbishop.com,archbishop,A,3,Noun,27
ammonium.com,ammonium,A,3,Noun,40
acacia.com,acacia,A,3,Noun,54
auctioneer.com,auctioneer,A,3,Noun,27
atlanta.com,atlanta,A,3,Noun,47
assumption.com,assumption,A,3,Noun,37
attention.com,attention,A,3,Noun,37
armament.com,armament,A,3,Noun,40
azalea.com,azalea,A,3,Noun,54
assassin.com,assassin,A,3,Noun,40
artemis.com,artemis,A,3,Noun,40
associate.com,associate,A,3,Noun,27
alaska.com,alaska,A,3,Noun,54
antenna.com,antenna,A,3,Noun,47
accounting.com,accounting,A,3,Noun,27
agenda.com,agenda,A,3,Noun,54
asterisk.com,asterisk,A,3,Noun,40
albino.com,albino,A,3,Noun,54
according.com,according,A,3,Verb,27
assured.com,assured,A,3,Verb,40
advancing.com,advancing,A,3,Verb,27
accomplish.com,accomplish,A,3,Verb,27
animate.com,animate,A,3,Verb,47
alleviate.com,alleviate,A,3,Verb,27
aborted.com,aborted,A,3,Verb,40
amazed.com,amazed,A,3,Verb,47
alarmed.com,alarmed,A,3,Verb,40
assuring.com,assuring,A,3,Verb,40
amused.com,amused,A,3,Verb,47
admired.com,admired,A,3,Verb,40
acquired.com,acquired,A,3,Verb,40
approaching.com,approaching,A,3,Verb,22
appalling.com,appalling,A,3,Verb,27
awaken.com,awaken,A,3,Verb,50
assessed.com,assessed,A,3,Verb,40
allocate.com,allocate,A,3,Verb,40
authorize.com,authorize,A,3,Verb,27
anchored.com,anchored,A,3,Verb,40
amusing.com,amusing,A,3,Verb,40
activate.com,activate,A,3,Verb,40
advised.com,advised,A,3,Verb,40
appropriate.com,appropriate,A,3,Verb,22
assumed.com,assumed,A,3,Verb,40
amplify.com,amplify,A,3,Verb,40
acknowledge.com,acknowledge,A,3,Verb,22
admiring.com,admiring,A,3,Verb,40
averted.com,averted,A,3,Verb,40
adventure.com,adventure,A,3,Verb,27
alternate.com,alternate,A,3,Verb,27
aspiring.com,aspiring,A,3,Verb,40
augmented.com,augmented,A,3,Verb,27
appealing.com,appealing,A,3,Verb,27
apprehend.com,apprehend,A,3,Verb,27
accepted.com,accepted,A,3,Verb,40
ascending.com,ascending,A,3,Verb,27
absorbed.com,absorbed,A,3,Verb,40
accused.com,accused,A,3,Verb,40
alienate.com,alienate,A,3,Verb,40
appreciate.com,appreciate,A,3,Verb,27
advertise.com,advertise,A,3,Verb,27
addicted.com,addicted,A,3,Verb,40
amazing.com,amazing,A,3,Verb,40
advanced.com,advanced,A,3,Verb,40
abandon.com,abandon,A,3,Verb,50
arisen.com,arisen,A,3,Verb,50
ascertain.com,ascertain,A,3,Verb,27
analyze.com,analyze,A,3,Verb,47
affected.com,affected,A,3,Verb,40
assorted.com,assorted,A,3,Verb,40
arresting.com,arresting,A,3,Verb,27
alluring.com,alluring,A,3,Verb,40
assuming.com,assuming,A,3,Verb,40
acquainted.com,acquainted,A,3,Verb,27
afflicted.com,afflicted,A,3,Verb,27
analyse.com,analyse,A,3,Verb,47
adopted.com,adopted,A,3,Verb,40
abridged.com,abridged,A,3,Verb,40
attached.com,attached,A,3,Verb,40
absorbing.com,absorbing,A,3,Verb,27
abolish.com,abolish,A,3,Verb,40
assigned.com,assigned,A,3,Verb,40
abiding.com,abiding,A,3,Verb,40
alarming.com,alarming,A,3,Verb,40
admitted.com,admitted,A,3,Verb,40
adjoining.com,adjoining,A,3,Verb,27
affecting.com,affecting,A,3,Verb,27
adjustable.com,adjustable,A,3,Adjective,27
admirable.com,admirable,A,3,Adjective,27
ancestral.com,ancestral,A,3,Adjective,27
affordable.com,affordable,A,3,Adjective,27
armored.com,armored,A,3,Adjective,40
additive.com,additive,A,3,Adjective,40
aquatic.com,aquatic,A,3,Adjective,40
adorable.com,adorable,A,3,Adjective,40
ambiguous.com,ambiguous,A,3,Adjective,27
achievable.com,achievable,A,3,Adjective,27
attentive.com,attentive,A,3,Adjective,27
athletic.com,athletic,A,3,Adjective,40
attainable.com,attainable,A,3,Adjective,27
auspicious.com,auspicious,A,3,Adjective,27
aerobic.com,aerobic,A,3,Adjective,40
atomic.com,atomic,A,3,Adjective,47
angular.com,angular,A,3,Adjective,50
alkaline.com,alkaline,A,3,Adjective,40
apparent.com,apparent,A,3,Adjective,40
absolute.com,absolute,A,3,Adjective,40
artistic.com,artistic,A,3,Adjective,40
amphibious.com,amphibious,A,3,Adjective,27
atrocious.com,atrocious,A,3,Adjective,27
accessible.com,accessible,A,3,Adjective,27
ashamed.com,ashamed,A,3,Adjective,40
abnormal.com,abnormal,A,3,Adjective,40
available.com,available,A,3,Adjective,27
accurate.com,accurate,A,3,Adjective,40
archival.com,archival,A,3,Adjective,40
autistic.com,autistic,A,3,Adjective,40
accountable.com,accountable,A,3,Adjective,22
awesome.com,awesome,A,3,Adjective,47
attractive.com,attractive,A,3,Adjective,27
assertive.com,assertive,A,3,Adjective,27
acceptable.com,acceptable,A,3,Adjective,27
appellate.com,appellate,A,3,Adjective,27
arterial.com,arterial,A,3,Adjective,40
average.com,average,A,3,Adjective,47
agrarian.com,agrarian,A,3,Adjective,40
abusive.com,abusive,A,3,Adjective,47
adequate.com,adequate,A,3,Adjective,40
aggressive.com,aggressive,A,3,Adjective,27
ambitious.com,ambitious,A,3,Adjective,27
angelic.com,angelic,A,3,Adjective,40
astounding.com,astounding,A,3,Adjective,27
adaptive.com,adaptive,A,3,Adjective,40
acidic.com,acidic,A,3,Adjective,47
algebraic.com,algebraic,A,3,Adjective,27
arrogant.com,arrogant,A,3,Adjective,40
antitrust.com,antitrust,A,3,Adjective,27
abundant.com,abundant,A,3,Adjective,40
advisable.com,advisable,A,3,Adjective,27
affective.com,affective,A,3,Adjective,27
actionable.com,actionable,A,3,Adjective,27
adjacent.com,adjacent,A,3,Adjective,40
abrasive.com,abrasive,A,3,Adjective,40
adoptive.com,adoptive,A,3,Adjective,40
aesthetic.com,aesthetic,A,3,Adjective,27
applicable.com,applicable,A,3,Adjective,27
authentic.com,authentic,A,3,Adjective,27
allergic.com,allergic,A,3,Adjective,40
adaptable.com,adaptable,A,3,Adjective,27
another.com,another,A,3,Adjective,40
afterward.com,afterward,A,3,Adverb,27
awkwardly.com,awkwardly,A,3,Adverb,27
already.com,already,A,3,Adverb,40
annually.com,annually,A,3,Adverb,40
angrily.com,angrily,A,3,Adverb,40
anyways.com,anyways,A,3,Adverb,40
anyhow.com,anyhow,A,3,Adverb,47
anywhere.com,anywhere,A,3,Adverb,40
afterwards.com,afterwards,A,3,Adverb,27
anyway.com,anyway,A,3,Adverb,47
actually.com,actually,A,3,Adverb,40
awfully.com,awfully,A,3,Adverb,40
abruptly.com,abruptly,A,3,Adverb,40
alongside.com,alongside,A,3,Adverb,27
anxiously.com,anxiously,A,3,Adverb,27
alimony.com,alimony,A,4,Noun,35
automobile.com,automobile,A,4,Noun,22
admiralty.com,admiralty,A,4,Noun,22
atonement.com,atonement,A,4,Noun,22
anorexia.com,anorexia,A,4,Noun,35
adversity.com,adversity,A,4,Noun,22
application.com,application,A,4,Noun,27
arrangement.com,arrangement,A,4,Noun,17
astronomer.com,astronomer,A,4,Noun,22
apology.com,apology,A,4,Noun,35
advertiser.com,advertiser,A,4,Noun,22
altercation.com,altercation,A,4,Noun,27
ammunition.com,ammunition,A,4,Noun,32
accomplishment.com,accomplishment,A,4,Noun,13
analyzer.com,analyzer,A,4,Noun,35
achievement.com,achievement,A,4,Noun,17
adolescence.com,adolescence,A,4,Noun,17
archaeologist.com,archaeologist,A,4,Noun,13
astronomy.com,astronomy,A,4,Noun,22
animation.com,animation,A,4,Noun,32
affiliation.com,affiliation,A,4,Noun,27
association.com,association,A,4,Noun,27
adoration.com,adoration,A,4,Noun,32
ambiguity.com,ambiguity,A,4,Noun,22
adventurer.com,adventurer,A,4,Noun,22
audacity.com,audacity,A,4,Noun,35
affirmation.com,affirmation,A,4,Noun,27
activity.com,activity,A,4,Noun,35
antagonist.com,antagonist,A,4,Noun,22
agility.com,agility,A,4,Noun,35
accusation.com,accusation,A,4,Noun,32
attribution.com,attribution,A,4,Noun,27
alienation.com,alienation,A,4,Noun,32
annexation.com,annexation,A,4,Noun,32
admiration.com,admiration,A,4,Noun,32
affinity.com,affinity,A,4,Noun,35
apprehension.com,apprehension,A,4,Noun,23
andromeda.com,andromeda,A,4,Noun,22
antarctica.com,antarctica,A,4,Noun,22
acidity.com,acidity,A,4,Noun,35
aluminium.com,aluminium,A,4,Noun,22
ability.com,ability,A,4,Noun,35
abandonment.com,abandonment,A,4,Noun,17
anomaly.com,anomaly,A,4,Noun,35
actuality.com,actuality,A,4,Noun,22
abdominal.com,abdominal,A,4,Noun,22
aluminum.com,aluminum,A,4,Noun,35
autonomy.com,autonomy,A,4,Noun,35
advertising.com,advertising,A,4,Noun,17
angelica.com,angelica,A,4,Noun,35
allegation.com,allegation,A,4,Noun,32
amputation.com,amputation,A,4,Noun,32
advocacy.com,advocacy,A,4,Noun,35
analysis.com,analysis,A,4,Noun,35
aquaculture.com,aquaculture,A,4,Noun,17
analyses.com,analyses,A,4,Noun,35
avocado.com,avocado,A,4,Noun,42
announcement.com,announcement,A,4,Noun,13
acupuncture.com,acupuncture,A,4,Noun,17
architecture.com,architecture,A,4,Noun,13
adversary.com,adversary,A,4,Noun,22
appalachian.com,appalachian,A,4,Noun,17
apocalypse.com,apocalypse,A,4,Noun,22
alligator.com,alligator,A,4,Noun,32
antibody.com,antibody,A,4,Noun,35
alcoholic.com,alcoholic,A,4,Noun,22
accidental.com,accidental,A,4,Noun,22
analogy.com,analogy,A,4,Noun,35
advisory.com,advisory,A,4,Noun,35
accuracy.com,accuracy,A,4,Noun,35
arithmetic.com,arithmetic,A,4,Noun,22
agriculture.com,agriculture,A,4,Noun,17
augmentation.com,augmentation,A,4,Noun,23
atrocity.com,atrocity,A,4,Noun,35
america.com,america,A,4,Noun,42
ambassador.com,ambassador,A,4,Noun,32
appropriation.com,appropriation,A,4,Noun,23
austerity.com,austerity,A,4,Noun,22
abbreviation.com,abbreviation,A,4,Noun,23
absurdity.com,absurdity,A,4,Noun,22
authority.com,authority,A,4,Noun,22
antiquity.com,antiquity,A,4,Noun,22
appreciation.com,appreciation,A,4,Noun,23
alcoholism.com,alcoholism,A,4,Noun,22
adrenaline.com,adrenaline,A,4,Noun,22
antibiotic.com,antibiotic,A,4,Noun,22
accountancy.com,accountancy,A,4,Noun,17
accessory.com,accessory,A,4,Noun,22
artillery.com,artillery,A,4,Noun,22
alteration.com,alteration,A,4,Noun,32
anesthetic.com,anesthetic,A,4,Noun,22
argentinian.com,argentinian,A,4,Noun,17
advancement.com,advancement,A,4,Noun,17
archaeology.com,archaeology,A,4,Noun,17
anesthesia.com,anesthesia,A,4,Noun,22
amazement.com,amazement,A,4,Noun,22
apparatus.com,apparatus,A,4,Noun,22
awareness.com,awareness,A,4,Noun,22
alexander.com,alexander,A,4,Noun,22
arbitration.com,arbitration,A,4,Noun,27
aspiration.com,aspiration,A,4,Noun,32
aeronautics.com,aeronautics,A,4,Noun,17
armageddon.com,armageddon,A,4,Noun,32
aggregation.com,aggregation,A,4,Noun,27
activation.com,activation,A,4,Noun,32
agitation.com,agitation,A,4,Noun,32
adaptation.com,adaptation,A,4,Noun,32
affidavit.com,affidavit,A,4,Noun,22
amusement.com,amusement,A,4,Noun,22
arizona.com,arizona,A,4,Noun,42
auditorium.com,auditorium,A,4,Noun,22
allegheny.com,allegheny,A,4,Noun,22
asparagus.com,asparagus,A,4,Noun,22
acquisition.com,acquisition,A,4,Noun,27
alabama.com,alabama,A,4,Noun,42
allocation.com,allocation,A,4,Noun,32
allegory.com,allegory,A,4,Noun,35
academy.com,academy,A,4,Noun,35
astrology.com,astrology,A,4,Noun,22
anthology.com,anthology,A,4,Noun,22
american.com,american,A,4,Noun,35
adultery.com,adultery,A,4,Noun,35
anatomy.com,anatomy,A,4,Noun,35
autopilot.com,autopilot,A,4,Noun,22
automatic.com,automatic,A,4,Noun,22
argentina.com,argentina,A,4,Noun,22
abolition.com,abolition,A,4,Noun,32
abandoned.com,abandoned,A,4,Verb,22
accredited.com,accredited,A,4,Verb,22
assimilate.com,assimilate,A,4,Verb,22
accompany.com,accompany,A,4,Verb,22
accustomed.com,accustomed,A,4,Verb,22
anticipate.com,anticipate,A,4,Verb,22
accelerate.com,accelerate,A,4,Verb,22
authorized.com,authorized,A,4,Verb,22
associated.com,associated,A,4,Verb,22
apologize.com,apologize,A,4,Verb,22
aggravating.com,aggravating,A,4,Verb,17
awakening.com,awakening,A,4,Verb,22
accommodate.com,accommodate,A,4,Verb,17
administer.com,administer,A,4,Verb,22
accumulate.com,accumulate,A,4,Verb,22
animated.com,animated,A,4,Verb,35
acknowledged.com,acknowledged,A,4,Verb,13
alternating.com,alternating,A,4,Verb,17
articulate.com,articulate,A,4,Verb,22
assassinate.com,assassinate,A,4,Verb,17
antiquated.com,antiquated,A,4,Verb,22
asymmetric.com,asymmetric,A,4,Adjective,22
anonymous.com,anonymous,A,4,Adjective,22
approximate.com,approximate,A,4,Adjective,17
analogous.com,analogous,A,4,Adjective,22
autonomous.com,autonomous,A,4,Adjective,22
apprehensive.com,apprehensive,A,4,Adjective,13
academic.com,academic,A,4,Adjective,35
apostolic.com,apostolic,A,4,Adjective,22
analytic.com,analytic,A,4,Adjective,35
attributable.com,attributable,A,4,Adjective,13
adventurous.com,adventurous,A,4,Adjective,17
anecdotal.com,anecdotal,A,4,Adjective,22
auditory.com,auditory,A,4,Adjective,35
additional.com,additional,A,4,Adjective,22
ambivalent.com,ambivalent,A,4,Adjective,22
advantageous.com,advantageous,A,4,Adjective,13
accomplished.com,accomplished,A,4,Adjective,13
auxiliary.com,auxiliary,A,4,Adjective,22
affirmative.com,affirmative,A,4,Adjective,17
affectionate.com,affectionate,A,4,Adjective,13
antisocial.com,antisocial,A,4,Adjective,22
artificial.com,artificial,A,4,Adjective,22
appreciative.com,appreciative,A,4,Adjective,13
atypical.com,atypical,A,4,Adjective,35
automotive.com,automotive,A,4,Adjective,22
ancillary.com,ancillary,A,4,Adjective,22
arbitrary.com,arbitrary,A,4,Adjective,22
adolescent.com,adolescent,A,4,Adjective,22
aromatic.com,aromatic,A,4,Adjective,35
astonishing.com,astonishing,A,4,Adjective,17
alternative.com,alternative,A,4,Adjective,17
atmospheric.com,atmospheric,A,4,Adjective,17
admittedly.com,admittedly,A,4,Adverb,22
altogether.com,altogether,A,4,Adverb,22
allegedly.com,allegedly,A,4,Adverb,22
accordingly.com,accordingly,A,4,Adverb,17
adversely.com,adversely,A,4,Adverb,22
actively.com,actively,A,4,Adverb,35
amazingly.com,amazingly,A,4,Adverb,22
acutely.com,acutely,A,4,Adverb,35
apparently.com,apparently,A,4,Adverb,22
abnormally.com,abnormally,A,4,Adverb,22
abundantly.com,abundantly,A,4,Adverb,22
blueberry.com,blueberry,B,3,Noun,27
bartender.com,bartender,B,3,Noun,27
bombardment.com,bombardment,B,3,Noun,22
bethlehem.com,bethlehem,B,3,Noun,27
bolivia.com,bolivia,B,3,Noun,47
borrower.com,borrower,B,3,Noun,40
bystander.com,bystander,B,3,Noun,27
broccoli.com,broccoli,B,3,Noun,40
burgundy.com,burgundy,B,3,Noun,40
boomerang.com,boomerang,B,3,Noun,27
blackwater.com,blackwater,B,3,Noun,27
brazilian.com,brazilian,B,3,Noun,27
bitterness.com,bitterness,B,3,Noun,27
bacteria.com,bacteria,B,3,Noun,40
bacterium.com,bacterium,B,3,Noun,27
birmingham.com,birmingham,B,3,Noun,27
blockbuster.com,blockbuster,B,3,Noun,22
breakaway.com,breakaway,B,3,Noun,27
bologna.com,bologna,B,3,Noun,47
benjamin.com,benjamin,B,3,Noun,40
bittersweet.com,bittersweet,B,3,Noun,22
bracelet.com,bracelet,B,3,Noun,40
burglary.com,burglary,B,3,Noun,40
billionaire.com,billionaire,B,3,Noun,22
burrito.com,burrito,B,3,Noun,47
blasphemy.com,blasphemy,B,3,Noun,27
badminton.com,badminton,B,3,Noun,37
boredom.com,boredom,B,3,Noun,40
barbados.com,barbados,B,3,Noun,40
biography.com,biography,B,3,Noun,27
babylon.com,babylon,B,3,Noun,50
barbarian.com,barbarian,B,3,Noun,27
brigadier.com,brigadier,B,3,Noun,27
baseball.com,baseball,B,3,Noun,40
beloved.com,beloved,B,3,Noun,40
binary.com,binary,B,3,Noun,47
barrister.com,barrister,B,3,Noun,27
botany.com,botany,B,3,Noun,47
bohemia.com,bohemia,B,3,Noun,47
bankruptcy.com,bankruptcy,B,3,Noun,27
bribery.com,bribery,B,3,Noun,40
broadcaster.com,broadcaster,B,3,Noun,22
baroness.com,baroness,B,3,Noun,40
buffalo.com,buffalo,B,3,Noun,47
bikini.com,bikini,B,3,Noun,54
bulgarian.com,bulgarian,B,3,Noun,27
banana.com,banana,B,3,Noun,54
benefit.com,benefit,B,3,Noun,40
battalion.com,battalion,B,3,Noun,37
bodyguard.com,bodyguard,B,3,Noun,27
burberry.com,burberry,B,3,Noun,40
bonanza.com,bonanza,B,3,Noun,47
borrowing.com,borrowing,B,3,Noun,27
baltimore.com,baltimore,B,3,Noun,27
borderline.com,borderline,B,3,Noun,27
boulevard.com,boulevard,B,3,Noun,27
bengali.com,bengali,B,3,Noun,47
beginner.com,beginner,B,3,Noun,40
battery.com,battery,B,3,Noun,40
bisexual.com,bisexual,B,3,Noun,40
brewery.com,brewery,B,3,Noun,40
bavarian.com,bavarian,B,3,Noun,40
bigotry.com,bigotry,B,3,Noun,40
bravery.com,bravery,B,3,Noun,40
business.com,business,B,3,Noun,40
balcony.com,balcony,B,3,Noun,40
burlington.com,burlington,B,3,Noun,37
bolivian.com,bolivian,B,3,Noun,40
battleship.com,battleship,B,3,Noun,27
battlefield.com,battlefield,B,3,Noun,22
boundary.com,boundary,B,3,Noun,40
believer.com,believer,B,3,Noun,40
buchanan.com,buchanan,B,3,Noun,40
bulletin.com,bulletin,B,3,Noun,40
bachelor.com,bachelor,B,3,Noun,50
beverage.com,beverage,B,3,Noun,40
biologist.com,biologist,B,3,Noun,27
battleground.com,battleground,B,3,Noun,18
bilingual.com,bilingual,B,3,Noun,27
bakery.com,bakery,B,3,Noun,47
behavior.com,behavior,B,3,Noun,50
brotherhood.com,brotherhood,B,3,Noun,22
bungalow.com,bungalow,B,3,Noun,40
brokerage.com,brokerage,B,3,Noun,27
basement.com,basement,B,3,Noun,40
biographer.com,biographer,B,3,Noun,27
bermuda.com,bermuda,B,3,Noun,47
benedict.com,benedict,B,3,Noun,40
biology.com,biology,B,3,Noun,40
blackberry.com,blackberry,B,3,Noun,27
basketball.com,basketball,B,3,Noun,27
brittany.com,brittany,B,3,Noun,40
